snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version
34,MCSNR J0514-6840,J0514-6840,78.55375,-68.67083333333333,SNR,4.8,4.8,4.8,2.4,69.81312,0.0,circle,0.16,0.014,False,Ia,0.0,0.0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,HP 700,0.4,,,,,,,0.246,23800.0,0.0307,True,True,True,False,False,False,,3
35,MCSNR J0517-6759,J0517-6759,79.29875,-67.98055555555555,SNR,5.3,5.3,5.3,2.65,77.08532,0.0,circle,0.116,0.014,False,CC,0.0,0.0,MHK14,2014A&A...561A..76M (Maggi et al. 2014),verify-bibcode,,,HP 607,0.24,1.44,,,,,,0.662,60100.0,0.0356,True,True,True,False,False,False,,3
36,MCSNR J0518-6939,J0518-6939,79.67374999999998,-69.65555555555557,SNR,3.4,3.4,3.4,1.7,49.45096,0.0,circle,0.442,0.018,False,CC,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N120,0.88,,,,-0.61,0.03,0.4504,0.37,13300.0,0.0962,True,True,True,False,False,False,,3
37,MCSNR J0519-6902,J0519-6902,79.88874999999999,-69.03916666666666,SNR,2.6,2.6,2.6,1.3,37.81544,0.0,circle,15.1,0.1,False,Ia?,0.0,0.0,LHG81,"1981ApJ...248..925L (Long, Helfand & Grabelsky 1981)",verify-bibcode,,,B0519-690,34.94,0.63,600.0,200.0,-0.64,0.02,0.1316,0.183,2680.0,3.51,True,True,True,False,False,False,,3
38,MCSNR J0519-6926,J0519-6926,79.93333333333332,-69.43555555555555,SNR,4.6,4.6,4.6,2.3,66.90423999999999,0.0,circle,1.28,0.03,False,CC,0.0,0.0,MFD83,MFD83,unmapped,,,B0520-694,2.69,,,,-0.53,0.03,0.1606,0.744,18000.0,0.114,True,True,True,False,False,False,,3
39,MCSNR J0521-6543,J0521-6543,80.41249999999998,-65.71861111111112,SNR,6.6,6.6,6.6,3.3,95.99304,0.0,circle,0.058,0.0109,False,CC,0.0,0.0,BGS06,"2006ApJS..165..480B (Blair et al. 2006, UV)",verify-bibcode,,,DEM L142,,,,,,,,,,,True,True,False,False,False,False,,3
40,MCSNR J0522-6543,J0522-6543,80.72291666666665,-65.71916666666667,SNR,5.8,5.2,5.5,2.75,79.99419999999999,26.0,ellipse,,,True,,0.10909090909090903,0.44293905443672854,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,3
41,MCSNR J0522-6740,J0522-6740,80.64041666666664,-67.68444444444445,SNR,3.2,3.0,3.1,1.55,45.08764,90.0,ellipse,0.053,0.0119,False,,0.06451612903225812,0.3479852726768767,Y20,"Yew 2020, PhD thesis",verify-bibcode,,,,,,,,,,,,,,False,False,False,True,False,False,,3
42,MCSNR J0523-6753,J0523-6753,80.77291666666666,-67.8888888888889,SNR,4.8,4.8,4.8,2.4,69.81312,0.0,circle,0.414,0.019,False,CC,0.0,0.0,CMG93,CMG93,unmapped,,,N44,0.9,0.21,,,,,,0.504,12600.0,0.0471,True,True,True,False,False,False,,3
43,MCSNR J0524-6624,J0524-6624,81.08666666666666,-66.40777777777778,SNR,4.3,4.3,4.3,2.15,62.54092,0.0,circle,0.038,0.006,False,CC,0.0,0.0,MFT85,Mathewson et al. 1985,verify-bibcode,,,DEM L175a,,,,,-0.41,0.02,0.0725,,,,True,True,False,False,False,False,,3
44,MCSNR J0525-6559,J0525-6559,81.35041666666666,-65.99055555555556,SNR,3.7,3.7,3.7,1.85,53.81428,0.0,circle,16.1,0.1,False,CC?,0.0,0.0,MC73,1973ApJ...180..725M (Mathewson & Clarke 1973),verify-bibcode,,,N49B,38.03,0.95,10000.0,,-0.56,0.03,0.6344,2.82,11800.0,0.51,True,True,True,False,False,False,,3
45,MCSNR J0525-6938,J0525-6938,81.26208333333334,-69.64527777777778,SNR,3.7,3.7,3.7,1.85,53.81428,0.0,circle,130.0,1.0,False,CC?,0.0,0.0,WM66,Westerlund & Mathewson 1966,verify-bibcode,,,N132D,315.04,0.45,3150.0,,-0.65,0.04,5.2642,4.81,8130.0,2.27,True,True,True,False,False,False,,3
46,MCSNR J0526-6605,J0526-6605,81.49749999999999,-66.08444444444444,SNR,2.7,2.7,2.7,1.35,39.26988,0.0,circle,25.0,0.1,False,CC?,0.0,0.0,WM66,Westerlund & Mathewson 1966,verify-bibcode,,,N49,64.37,0.64,4800.0,,-0.59,0.03,1.6618,1.16,7650.0,1.93,True,True,True,False,False,False,,3
