snr_key,id,name,ra,dec,klass,size_maj_arcmin,size_min_arcmin,d_arcmin,r_arcmin,d_pc,pa_deg,shape,xray_rate_ctss,xray_rate_err,xray_rate_is_upper_limit,sn_type,ovality,eccentricity,ref_discovery_code,ref_discovery,ref_confidence,ref_confirm_code,ref_confirm,alias,lx_1e35,nh_1e21,age_kyr,age_err_kyr,alpha_radio,alpha_radio_err,s_1ghz_jy,e0_1e51_erg,age_l17_yr,n0_cm3,in_m16,in_b17,in_l17,in_y21,in_k22,in_b23,thesis_note,dataset_version,hint_spec_m16,sn_type_m16,sn_type_b17,age_b17_kyr,age_b17_err_kyr,age_b17_ref,sigma_1ghz_b17_1e-20,sii_ha_y21,hr1,hr1_err,hr2,hr2_err,hr3,hr3_err,nh_z26_1e22,kt_z26_kev,tau_z26_1e11,fx_z26_1e-14,in_z26,age_k22_kyr,e0_k22_1e51,n0_k22_cm3
c22,J0513-6731,J0513-6731,78.3620833333333,-67.5313888888889,SNR_candidate,5,3.6,4.3,2.15,62.54092,60,ellipse,0.044,0.0096,False,,0.325581395348837,0.693974062915899,B17,2017ApJS..230....2B,ok,,,,,,,,-0.56,0.41,0.0261,,,,False,True,False,False,False,False,B17-Candidate,4,,,,,,,0.0897,,-0.61,0.17,,,,,,,,,False,,,
c23,J0517-6757,J0517-6757,79.4733333333333,-67.9569444444445,SNR_candidate,1.4,1.4,1.4,0.7,20.36216,0,circle,,,True,,0,0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.7,,,,,,,,,,,False,,,
c24,J0521-6853,J0521-6853,80.3604166666667,-68.8791666666667,SNR_candidate,5.2,5.2,5.2,2.6,75.63088,0,circle,0.084,0.0141,False,,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J052126.5-685245,,,,,,,,,,,False,False,False,False,False,False,Z24-Candidate; first detected by HP99,4,,,,,,,,,0.5,0.2,-0.75,0.16,-0.49,0.78,,,,,False,,,
c25,J0521-6707,J0521-6707,80.4025,-67.1280555555556,SNR_candidate,6.6,6.6,6.6,3.3,95.99304,0,circle,0.031,0.0137,False,,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J052136.6-670741,,,,,,,,,,,False,False,False,False,False,False,Z24-Candidate; radio point source with spectral index -0.3,4,,,,,,,,,0.23,0.41,,,,,,,,,False,,,
c26,J0521-6936,J0521-6936,80.4529166666667,-69.6136111111111,SNR_candidate,5.2,5.2,5.2,2.6,75.63088,0,circle,0.136,0.02,False,,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J052148.7-693649,,,,,,,,,,,False,False,False,False,False,False,Z24-Candidate,4,,,,,,,,,0.38,0.14,,,,,,,,,False,,,
c27,J0523-6804,J0523-6804,80.8779166666667,-68.0666666666667,SNR_candidate,3.9,3.9,3.9,1.95,56.72316,0,circle,0.041,0.0102,False,,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J052330.7-680400,,,,,,,,,,,False,False,False,False,False,False,Z24-Candidate,4,,,,,,,,,0.04,0.21,-0.89,0.32,,,,,,,False,,,
c28,J0525-6621,J0525-6621,81.26125,-66.3569444444444,SNR_candidate,5.1,5.1,5.1,2.55,74.17644,0,circle,0.119,0.011,False,Ia?,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J052502.7-662125,,,,,,,,,,,False,False,False,False,False,False,"Z24-Candidate, HR suggest type Ia",4,,,,,,,,,-0.01,0.07,,,,,,,,,False,,,
c29,J0528-6719,J0528-6719,82.2070833333333,-67.3202777777778,SNR_candidate,3.8,3.8,3.8,1.9,55.26872,0,circle,0.037,0.0082,False,CC?,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J052849.7-671913,,,,,,,,,,,False,False,False,False,False,False,"Z24-Candidate, SFH peak suggest CC",4,,,,,,,,,-0.03,0.22,-0.45,0.25,,,,,,,False,,,
c30,J0528-7018,J0528-7018,82.1916666666667,-70.2991666666667,SNR_candidate,9.2,8.8,9,4.5,130.8996,140,ellipse,0.011,0.0331,False,,0.0444444444444442,0.29166104054345,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.9,,,,,,,,,,,False,,,
c31,J0532-6554,J0532-6554,83.1020833333333,-65.9030555555556,SNR_candidate,2.8,2.8,2.8,1.4,40.72432,0,circle,0.038,0.005,False,,0,0,Za24,2024A&A...692A.237Z,ok,,,4eRASSU J053224.5-655411,,,,,,,,,,,False,False,False,False,False,False,"Z24-Candidate, SFH mildly suggest CC; first detected by HP99",4,,,,,,,,,0.37,0.12,-0.65,0.14,,,,,,,False,,,
c32,J0534-6700,J0534-6700,83.6766666666667,-66.9986111111111,SNR_candidate,3,2.6,2.8,1.4,40.72432,0,ellipse,0.017,0.0044,False,,0.142857142857143,0.498887651569859,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.73,0.26,0.11,0.63,,,,,,,False,,,
c33,J0534-6720,J0534-6720,83.5204166666667,-67.3475,SNR_candidate,2.7,2.7,2.7,1.35,39.26988,0,circle,0.099,0.0127,False,,0,0,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.66,0.1,-0.72,0.37,-0.14,1.3,,,,,False,,,
c34,J0538-6921,J0538-6921,84.56125,-69.3566666666667,SNR_candidate,5.6,5.4,5.5,2.75,79.9942,0,ellipse,0.383,0.024,False,,0.0363636363636362,0.264864231681988,B17,2017ApJS..230....2B,ok,,,,,,,,-0.59,0.04,0.5207,,,,False,True,False,False,False,False,B17-Candidate,4,,,,,,,0.9878,,0.24,0.06,-0.57,0.07,-0.7,0.2,<0.03,1.01+1.28-0.17,0.59+0.30-0.36,3.03±0.15,True,,,
c35,J0538-7004,J0538-7004,84.6870833333333,-70.0733333333333,SNR_candidate,1.3,1.3,1.3,0.65,18.90772,0,circle,,,True,,0,0,Y21,2021MNRAS.500.2336Y,ok,,,,,,,,,,,,,,False,False,False,True,False,False,,4,,,,,,,,0.8,,,,,,,,,,,False,,,
c36,J0539-7001,J0539-7001,84.8979166666667,-70.0311111111111,SNR_candidate,6,2.4,4.2,2.1,61.08648,135,ellipse,0.308,0.014,False,,0.857142857142857,0.916515138991168,HP99,1999A&AS..139..277H (Haberl & Pietsch 1999),ok,,,,,,,,-0.47,0.41,0.0054,,,,False,True,False,False,False,False,B17-Candidate,4,,,,,,,0.0115,,0.71,0.04,-0.88,0.04,-0.82,0.47,0.11+0.07-0.05,0.49+0.03-0.05,380+97-336,23.7±0.5,True,,,
c37,J0542-6852,J0542-6852,85.4970833333333,-68.8669444444444,SNR_candidate,6,5.8,5.9,2.95,85.81196,343,ellipse,0.075,0.0158,False,,0.0338983050847457,0.25603819159562,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.02,0.12,,,,,,,,,False,,,
c38,J0543-6906,J0543-6906,85.8625,-69.1225,SNR_candidate,7.3,7.3,7.3,3.65,106.17412,0,circle,0.397,0.025,False,,0,0,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,0.23,0.06,-0.53,0.07,,,,,,,False,,,
c39,J0543-6923,J0543-6923,85.81875,-69.3908333333333,SNR_candidate,9.6,7,8.3,4.15,120.71852,0,ellipse,,,True,,0.313253012048193,0.684336154402368,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,,,,,,,,,,,False,,,
c40,J0543-6928,J0543-6928,85.77625,-69.4783333333333,SNR_candidate,4.8,3,3.9,1.95,56.72316,35,ellipse,0.036,0.0118,False,,0.461538461538462,0.7806247497998,B23,2022MNRAS.518.2574B,ok,,,,,,,,,,,,,,False,False,False,False,False,True,,4,,,,,,,,,-0.38,0.46,0.14,0.56,,,,,,,False,,,
